Cause,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
I60-I69,"25,208","25,538","24,930","22,969","21,862","21,264","18,308","20,323","19,133","19,244","16,468","16,153","16,222","16,199","16,519","15,991","15,472","15,437"
J40-J47,"15,674","15,815","16,445","15,143","15,333","14,707","14,727","15,553","14,933","14,723","15,291","16,253","16,941","16,384","17,910","17,671","17,821","17,988"
"F01,F03,G30","8,890","9,135","9,145","8,958","9,084","9,538","10,638","12,128","12,148","13,288","14,453","16,792","18,222","19,179","22,794","23,572","25,880","26,579"
J09-J18,"15,985","16,284","17,355","15,648","15,986","15,091","14,819","15,129","14,775","14,025","13,019","13,132","13,463","12,334","14,460","13,677","13,746","14,708"
I20-I25,"66,399","64,473","62,400","58,565","56,135","52,594","51,386","49,473","47,149","46,430","43,040","42,677","42,885","41,195","41,778","40,117","40,789","40,214"
C33-C34,"20,437","20,270","19,792","19,502","19,473","19,637","19,118","19,883","19,746","19,426","19,604","19,304","19,488","19,569","19,164","19,328","18,825","18,587"
